1,15,09-02-22,2416,9521,4.14,44,Breakfast,566
2,24,07-08-23,2707,11326,7.98,96,Snack,404
3,36,01-07-24,1971,11097,5.87,76,Snack,616
4,39,04-01-24,1992,13177,7.92,59,Dinner,700
5,11,29-10-22,1598,6816,7.87,70,Snack,332
6,8,19-08-22,2276,13841,6.27,42,Lunch,423
7,4,15-07-24,2749,10358,7.37,101,Breakfast,697
8,31,24-11-23,2105,11679,6.38,102,Snack,358
9,27,12-10-22,2749,8502,6.51,39,Snack,338
10,15,07-12-23,2510,8339,4.46,80,Lunch,649
11,17,06-09-22,2631,6132,7.41,76,Snack,546
12,21,28-09-24,1503,7644,5.66,65,Breakfast,457
13,4,16-09-23,2455,5096,7.5,120,Breakfast,389
14,2,01-09-22,2414,9241,4.91,86,Breakfast,464
15,25,17-12-24,2739,5157,7.21,66,Snack,693
16,34,03-11-22,2309,5779,6.32,83,Dinner,667
17,42,01-12-22,2090,6123,5.63,90,Breakfast,661
18,23,23-11-24,1666,14739,5.85,51,Lunch,300
19,42,01-10-23,2393,6569,6.41,119,Lunch,483
20,36,13-03-24,1549,10097,4.44,100,Lunch,402
21,15,18-03-24,2774,10571,4.05,60,Snack,476
22,10,02-05-24,2996,9344,5.21,119,Lunch,633
23,1,20-09-22,1791,5751,6.62,73,Snack,599
24,28,02-12-23,2759,13183,5.93,38,Breakfast,461
25,41,17-09-22,2114,5303,7.11,84,Snack,603
26,5,30-10-22,2184,10965,6.76,65,Dinner,404
27,10,28-02-24,1604,6806,6.68,105,Lunch,431
28,29,06-07-22,2552,14255,5.23,93,Snack,651
29,33,25-09-22,2919,14274,4.59,52,Lunch,477
30,41,23-04-23,2081,5105,4.2,109,Snack,477
31,49,02-06-22,1992,10798,7.91,108,Snack,700
32,38,25-10-23,1579,10747,6.86,103,Lunch,625
33,31,11-11-22,2525,14248,4.85,102,Breakfast,475
34,45,02-08-22,1694,13205,7.37,57,Dinner,464
35,40,26-03-22,1515,9775,4.51,56,Lunch,667
36,44,12-07-24,2483,7566,7.07,53,Breakfast,660
37,39,26-09-24,1527,14085,4.29,107,Breakfast,378
38,23,09-04-22,2056,5189,4.26,82,Dinner,436
39,23,09-03-22,2968,7813,5.76,103,Breakfast,465
40,28,30-05-22,2024,5201,7.01,42,Snack,569
41,29,31-05-23,2360,6946,7.4,72,Snack,687
42,3,21-03-23,1919,7234,7.34,109,Lunch,450
43,5,14-09-23,2308,5466,6.66,82,Snack,685
44,21,31-08-22,2203,14861,7.01,74,Dinner,336
45,48,05-01-24,1822,8753,6.88,54,Lunch,524
46,22,07-10-24,2623,6729,4.19,84,Breakfast,361
47,20,14-01-22,1786,13781,7.86,73,Breakfast,579
48,48,08-05-23,2882,5494,6.3,34,Dinner,579
49,7,09-10-24,1610,12808,7,87,Snack,513
50,19,23-03-24,2799,7842,4.06,62,Snack,432
