1,49,23,0,0
2,29,46,0,1
3,18,34,0,0
4,48,28,0,0
5,38,33,1,1
6,33,25,1,1
7,33,27,1,1
8,19,10,1,1
9,41,19,1,0
10,34,22,1,0
11,1,46,1,0
12,35,41,0,1
13,18,30,1,1
14,10,50,1,0
15,4,7,0,0
16,13,45,1,1
17,21,16,1,1
18,30,26,1,0
19,3,19,0,0
20,40,15,0,0
21,32,48,1,0
22,11,38,1,1
23,32,46,1,0
24,36,28,0,0
25,4,47,1,0
26,17,34,1,1
27,46,30,1,0
28,5,4,0,1
29,18,17,0,0
30,1,21,1,0
31,2,50,1,0
32,25,21,0,1
33,28,3,1,0
34,23,44,1,1
35,29,38,1,0
36,25,16,0,0
37,28,17,0,0
38,4,47,0,0
39,26,11,1,0
40,43,25,0,0
41,12,19,0,0
42,21,34,1,1
43,7,35,1,0
44,45,22,1,1
45,36,5,0,1
46,15,24,0,1
47,7,27,0,0
48,14,34,0,0
49,23,37,0,0
50,17,30,1,1
